Coin,Height,Amount,Address,,,,,
BTC(All),-,20710.06 ,,,,,,
ETH(All),-,156064.22 ,,,,,,
USDT(All),-,1043019667.10 ,,,,,,
USDC(All),-,122272126.90 ,,,,,,
ETH-ETH,16151774,148036.65 ,"0xf89d7b9c864f589bbF53a82105107622B35EaA40
0x1Db92e2EeBC8E0c075a02BeA49a2935BcD2dFCF4
0xA7A93fd0a276fc1C0197a5B5623eD117786eeD06
0xee5B5B923fFcE93A870B3104b7CA09c3db80047A",,,,,
ETH-BSC,23774595,4984.24 ,"0xf89d7b9c864f589bbF53a82105107622B35EaA40
0xee5B5B923fFcE93A870B3104b7CA09c3db80047A",,,,,
ETH-Optimism,47356500,1864.44 ,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,,,,
ETH-Arbitrum,44989109,1178.88 ,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,,,,
USDT-ETH,16151774,677668517.93 ,"0xf89d7b9c864f589bbF53a82105107622B35EaA40
0x1Db92e2EeBC8E0c075a02BeA49a2935BcD2dFCF4
0xA7A93fd0a276fc1C0197a5B5623eD117786eeD06
0xee5B5B923fFcE93A870B3104b7CA09c3db80047A",,,,,
USDT-BSC,23774595,147679102.48 ,"0xf89d7b9c864f589bbF53a82105107622B35EaA40
0xee5B5B923fFcE93A870B3104b7CA09c3db80047A",,,,,
USDT-Optimism,47356500,3075882.48 ,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,,,,
USDT-Arbitrum,44989109,38133891.81 ,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,,,,
USDT-Polygon,36644176,9334756.54 ,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,,,,
USDT-AVAXC,23439987,13471701.73 ,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,,,,
USDT-TRON,46685555,153655814.11 ,"TQVxjVy2sYt4at45ezD7VG4H6nQZtsua5C
TKFvdC4UC1vtCoHZgn8eviK34kormXaqJ7
TS9PDCB6vzLYDCPr5Nas2yzekdr7ot6dxn
TU4vEruvZwLLkSfV9bNw12EJTPvNr7Pvaa
TYgFxMvvu2VHFJnxQf8fh1qVAeMfXZJZ3K
TB1WQmj63bHV9Qmuhp39WABzutphMAetSc
TBpr1tQ5kvoKMv85XsCESVavYo4oZZdWpY
TXRRpT4BZ3dB5ShUQew2HXv1iK3Gg4MM9j",,,,,
USDC-ETH,16151774,62490841.43 ,"0xf89d7b9c864f589bbF53a82105107622B35EaA40
0x1Db92e2EeBC8E0c075a02BeA49a2935BcD2dFCF4
0xA7A93fd0a276fc1C0197a5B5623eD117786eeD06
0xe1ab8c08294F8ee707D4eFa458eaB8BbEeB09215
0xee5B5B923fFcE93A870B3104b7CA09c3db80047A",,,,,
USDC-BSC,23774595,13169867.36 ,"0xf89d7b9c864f589bbF53a82105107622B35EaA40
0xee5B5B923fFcE93A870B3104b7CA09c3db80047A",,,,,
USDC-Arbitrum,44989109,34925378.41 ,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,,,,
USDC-Polygon,36644176,3246858.33 ,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,,,,
USDC-AVAXC,23439987,8439181.35 ,0xf89d7b9c864f589bbF53a82105107622B35EaA40,,,,,
BTC,766716,20710.06 ,"bc1q9w4g79ndel72lygvwtqzem67z6uqv4yncvqjz3yn8my9swnwflxsutg4cx
bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m
1GrwDkr33gT6LuumniYjKEGjTLhsL5kmqC
bc1q2qqqt87kh33s0er58akh7v9cwjgd83z5smh9rp",,,,,
